Hour,1,2,5,10,25,50,100,200,500,1000
1,1.34,1.54,1.88,2.18,2.61,2.96,3.32,3.7,4.23,4.64
2,1.65,1.89,2.31,2.68,3.22,3.66,4.12,4.62,5.3,5.85
3,1.85,2.11,2.56,2.97,3.57,4.08,4.62,5.19,6.01,6.66
6,2.26,2.55,3.06,3.53,4.24,4.85,5.5,6.2,7.21,8.02
12,2.78,3.11,3.7,4.24,5.06,5.74,6.48,7.27,8.41,9.32
24,3.32,3.75,4.5,5.16,6.13,6.92,7.75,8.64,9.88,10.9
48,3.83,4.39,5.35,6.17,7.36,8.31,9.29,10.3,11.7,12.9
72,4.2,4.77,5.74,6.61,7.88,8.92,10,11.2,12.8,14.1
96,4.53,5.09,6.08,6.98,8.33,9.45,10.6,11.9,13.8,15.3
168,5.37,6,7.13,8.18,9.76,11.1,12.6,14.1,16.4,18.2
240,6.09,6.79,8.05,9.2,10.9,12.4,14,15.7,18.2,20.2
