time,Atlanta,New_Orleans,Seattle,Des_Moines,Tampa,Elko,Los_Angeles,Columbus,Colorado_Springs
0,0,0,0,0,0,0,0,0,0
0.1,0.101,0.1,0.224,0.101,0.101,0.101,0.174,0.101,0.101
0.2,0.202,0.2,0.432,0.202,0.202,0.202,0.348,0.202,0.202
0.3,0.305,0.3,0.628,0.305,0.305,0.305,0.522,0.305,0.305
0.4,0.408,0.4,0.816,0.408,0.408,0.408,0.697,0.408,0.408
0.5,0.513,0.5,1,0.513,0.513,0.513,0.871,0.513,0.513
0.6,0.618,0.6,1.184,0.618,0.618,0.618,1.046,0.618,0.618
0.7,0.725,0.7,1.372,0.725,0.725,0.725,1.22,0.725,0.725
0.8,0.832,0.8,1.568,0.832,0.832,0.832,1.395,0.832,0.832
0.9,0.941,0.9,1.776,0.941,0.941,0.941,1.57,0.941,0.941
1,1.05,1,2,1.05,1.05,1.05,1.745,1.05,1.05
1.1,1.161,1.1,2.276,1.161,1.161,1.161,1.92,1.161,1.161
1.2,1.272,1.2,2.568,1.272,1.272,1.272,2.095,1.272,1.272
1.3,1.385,1.3,2.872,1.385,1.385,1.385,2.27,1.385,1.385
1.4,1.498,1.4,3.184,1.498,1.498,1.498,2.446,1.498,1.498
1.5,1.613,1.5,3.5,1.613,1.613,1.613,2.621,1.613,1.613
1.6,1.728,1.6,3.797,1.728,1.728,1.728,2.797,1.728,1.728
1.7,1.845,1.7,4.095,1.845,1.845,1.845,2.972,1.845,1.845
1.8,1.962,1.8,4.394,1.962,1.962,1.962,3.148,1.962,1.962
1.9,2.081,1.9,4.695,2.081,2.081,2.081,3.324,2.081,2.081
2,2.2,2,5,2.2,2.2,2.2,3.5,2.2,2.2
2.1,2.321,2.101,5.315,2.321,2.321,2.321,3.677,2.321,2.321
2.2,2.442,2.203,5.633,2.442,2.442,2.442,3.858,2.442,2.442
2.3,2.565,2.307,5.954,2.565,2.565,2.565,4.041,2.565,2.565
2.4,2.688,2.412,6.276,2.688,2.688,2.688,4.227,2.688,2.688
2.5,2.813,2.519,6.6,2.813,2.813,2.813,4.416,2.813,2.813
2.6,2.938,2.627,6.92,2.938,2.938,2.938,4.608,2.938,2.938
2.7,3.065,2.737,7.24,3.065,3.065,3.065,4.803,3.065,3.065
2.8,3.192,2.848,7.56,3.192,3.192,3.192,5.001,3.192,3.192
2.9,3.321,2.961,7.88,3.321,3.321,3.321,5.201,3.321,3.321
3,3.45,3.075,8.2,3.45,3.45,3.45,5.405,3.45,3.45
3.1,3.581,3.191,8.514,3.581,3.581,3.581,5.611,3.581,3.581
3.2,3.712,3.308,8.829,3.712,3.712,3.712,5.821,3.712,3.712
3.3,3.845,3.427,9.147,3.845,3.845,3.845,6.033,3.845,3.845
3.4,3.978,3.547,9.471,3.978,3.978,3.978,6.248,3.978,3.978
3.5,4.113,3.669,9.8,4.113,4.113,4.113,6.466,4.113,4.113
3.6,4.248,3.792,10.147,4.248,4.248,4.248,6.687,4.248,4.248
3.7,4.385,3.917,10.502,4.385,4.385,4.385,6.911,4.385,4.385
3.8,4.522,4.043,10.862,4.522,4.522,4.522,7.138,4.522,4.522
3.9,4.661,4.171,11.229,4.661,4.661,4.661,7.367,4.661,4.661
4,4.8,4.3,11.6,4.8,4.8,4.8,7.6,4.8,4.8
4.1,4.941,4.431,11.969,4.941,4.941,4.941,7.835,4.941,4.941
4.2,5.084,4.563,12.342,5.084,5.084,5.084,8.07,5.084,5.084
4.3,5.229,4.697,12.721,5.229,5.229,5.229,8.307,5.229,5.229
4.4,5.376,4.832,13.107,5.376,5.376,5.376,8.545,5.376,5.376
4.5,5.525,4.969,13.5,5.525,5.525,5.525,8.784,5.525,5.525
4.6,5.676,5.107,13.901,5.676,5.676,5.676,9.024,5.676,5.676
4.7,5.829,5.247,14.31,5.829,5.829,5.829,9.265,5.829,5.829
4.8,5.984,5.388,14.729,5.984,5.984,5.984,9.507,5.984,5.984
4.9,6.141,5.531,15.159,6.141,6.141,6.141,9.751,6.141,6.141
5,6.3,5.675,15.6,6.3,6.3,6.3,9.995,6.3,6.3
5.1,6.461,5.821,16.059,6.461,6.461,6.461,10.241,6.461,6.461
5.2,6.624,5.968,16.53,6.624,6.624,6.624,10.487,6.624,6.624
5.3,6.789,6.117,17.011,6.789,6.789,6.789,10.735,6.789,6.789
5.4,6.956,6.267,17.501,6.956,6.956,6.956,10.984,6.956,6.956
5.5,7.125,6.419,18,7.125,7.125,7.125,11.234,7.125,7.125
5.6,7.296,6.572,18.494,7.296,7.296,7.296,11.485,7.296,7.296
