Hour,1,2,5,10,25,50,100,200,500,1000
1,0.878,1.03,1.32,1.59,2.01,2.38,2.77,3.21,3.85,4.37
2,1.1,1.27,1.61,1.94,2.46,2.93,3.45,4.03,4.88,5.59
3,1.22,1.38,1.72,2.08,2.66,3.2,3.8,4.48,5.49,6.34
6,1.38,1.56,1.93,2.33,3.01,3.63,4.34,5.14,6.35,7.37
12,1.52,1.74,2.19,2.65,3.39,4.06,4.81,5.66,6.9,7.94
24,1.68,1.96,2.48,2.99,3.79,4.48,5.25,6.1,7.34,8.36
48,1.91,2.23,2.81,3.36,4.2,4.92,5.7,6.56,7.79,8.79
72,2.09,2.43,3.04,3.61,4.48,5.21,6,6.86,8.08,9.07
96,2.23,2.59,3.23,3.82,4.71,5.45,6.24,7.1,8.33,9.31
168,2.58,2.99,3.71,4.34,5.28,6.06,6.88,7.76,8.99,9.98
240,2.9,3.35,4.12,4.8,5.79,6.6,7.45,8.35,9.6,10.6
