Hour,1,2,5,10,25,50,100,200,500,1000
1,1.09,1.32,1.65,1.91,2.26,2.53,2.81,3.1,3.49,3.79
2,1.27,1.54,1.93,2.24,2.67,3.02,3.39,3.77,4.3,4.73
3,1.35,1.63,2.04,2.37,2.84,3.21,3.61,4.03,4.62,5.09
6,1.61,1.94,2.41,2.8,3.36,3.83,4.33,4.86,5.62,6.25
12,1.89,2.26,2.8,3.25,3.9,4.44,5.03,5.65,6.55,7.29
24,2.2,2.62,3.23,3.73,4.44,5.03,5.65,6.3,7.23,7.98
48,2.53,3.03,3.7,4.25,5.03,5.66,6.33,7.02,8,8.78
72,2.72,3.24,3.95,4.52,5.32,5.98,6.65,7.36,8.34,9.12
96,2.9,3.45,4.19,4.79,5.62,6.29,6.98,7.7,8.68,9.46
168,3.48,4.14,5.01,5.7,6.68,7.46,8.27,9.11,10.3,11.2
240,3.97,4.71,5.63,6.37,7.38,8.18,8.99,9.83,11,11.8
