Hour,1,2,5,10,25,50,100,200,500,1000
1,1.27,1.47,1.83,2.16,2.65,3.06,3.5,3.97,4.65,5.19
2,1.56,1.8,2.24,2.65,3.27,3.8,4.37,5,5.89,6.62
3,1.74,2,2.48,2.94,3.65,4.27,4.95,5.69,6.77,7.65
6,2.04,2.34,2.9,3.44,4.29,5.03,5.84,6.74,8.04,9.12
12,2.33,2.68,3.33,3.93,4.87,5.67,6.54,7.5,8.88,10
24,2.65,3.04,3.74,4.39,5.38,6.21,7.1,8.08,9.47,10.6
48,3.06,3.47,4.22,4.9,5.93,6.8,7.73,8.74,10.2,11.4
72,3.33,3.8,4.63,5.38,6.48,7.4,8.38,9.43,10.9,12.1
96,3.58,4.1,5,5.8,6.98,7.95,8.97,10.1,11.6,12.8
168,4.25,4.85,5.89,6.8,8.13,9.23,10.4,11.6,13.3,14.6
240,4.87,5.52,6.64,7.63,9.07,10.2,11.5,12.8,14.6,16
