Hour,1,2,5,10,25,50,100,200,500,1000
1,0.305,0.391,0.54,0.674,0.897,1.1,1.33,1.61,2.05,2.44
2,0.401,0.51,0.675,0.825,1.06,1.26,1.49,1.77,2.19,2.57
3,0.454,0.573,0.744,0.894,1.13,1.32,1.54,1.82,2.24,2.62
6,0.59,0.735,0.93,1.1,1.35,1.56,1.78,2.02,2.38,2.75
12,0.741,0.934,1.19,1.39,1.69,1.93,2.17,2.43,2.81,3.11
24,0.918,1.15,1.47,1.72,2.08,2.36,2.64,2.95,3.36,3.69
48,1.04,1.31,1.65,1.93,2.32,2.63,2.94,3.27,3.72,4.07
72,1.13,1.42,1.79,2.09,2.51,2.83,3.17,3.51,3.99,4.37
96,1.22,1.53,1.93,2.25,2.69,3.03,3.39,3.76,4.27,4.66
168,1.42,1.78,2.24,2.61,3.11,3.5,3.89,4.3,4.85,5.27
240,1.53,1.92,2.44,2.84,3.38,3.81,4.24,4.67,5.25,5.71
