Hour,1,2,5,10,25,50,100,200,500,1000
1,0.486,0.621,0.804,0.957,1.17,1.34,1.52,1.71,1.97,2.18
2,0.701,0.902,1.17,1.39,1.7,1.94,2.18,2.44,2.79,3.07
3,0.852,1.1,1.43,1.7,2.08,2.37,2.67,2.97,3.4,3.73
6,1.17,1.53,2,2.39,2.91,3.32,3.73,4.16,4.74,5.19
12,1.45,1.92,2.54,3.04,3.73,4.26,4.79,5.35,6.09,6.67
24,1.81,2.44,3.27,3.94,4.86,5.57,6.29,7.03,8.04,8.82
48,2.12,2.92,3.97,4.83,6,6.9,7.83,8.79,10.1,11.1
72,2.3,3.21,4.41,5.4,6.75,7.8,8.87,9.98,11.5,12.7
96,2.53,3.56,4.93,6.06,7.61,8.81,10,11.3,13.1,14.5
168,2.85,4.08,5.72,7.07,8.94,10.4,11.9,13.5,15.7,17.4
240,3.07,4.43,6.24,7.75,9.84,11.5,13.2,15,17.4,19.4
