Hour,1,2,5,10,25,50,100,200,500,1000
1,1.91,2.16,2.56,2.89,3.33,3.65,3.97,4.28,4.67,4.96
2,2.33,2.66,3.18,3.61,4.19,4.63,5.07,5.5,6.05,6.47
3,2.54,2.89,3.49,4,4.71,5.28,5.85,6.44,7.24,7.86
6,2.94,3.29,3.96,4.58,5.55,6.38,7.29,8.29,9.73,10.9
12,3.43,3.73,4.41,5.14,6.41,7.59,8.95,10.5,12.8,14.8
24,3.91,4.32,5.24,6.24,7.95,9.54,11.4,13.5,16.6,19.3
48,4.41,5.13,6.54,7.93,10.2,12.1,14.3,16.8,20.4,23.4
72,4.91,5.63,7.06,8.49,10.8,12.9,15.2,17.8,21.7,24.9
96,5.37,6.03,7.38,8.78,11.1,13.2,15.6,18.3,22.3,25.6
168,6.47,7.06,8.33,9.67,12,14,16.4,19.2,23.2,26.7
240,7.39,8.06,9.44,10.8,13.1,15.2,17.6,20.2,24.2,27.4
