"event","vol","dur","avg_int","max_int","start","end","delta","year","RI","peak_out","peak_baseline","vol_out","vol_baseline","sub_peak","sub_vol","peak_red","vol_red","city","soil","ratio","rain"
1,0.7,10,0.07,0.7,1999-01-02 07:00:00,1999-01-02 16:00:00,NA,1999,NA,8.24929809570312,10.3300476074219,213.592961788177,282.9917293787,34.7835912929019,33.7953191800394,20.1426904385589,24.5232494048097,"New_Orleans","low",0.1,"Dry"
2,0.16,4,0.04,0.16,1999-01-07 07:00:00,1999-01-07 10:00:00,111,1999,NA,1.25252890586853,3.05167198181152,37.8669927716255,50.8026648163795,62.9994537081107,64.4542182587612,58.9559784493939,25.4625856566945,"New_Orleans","low",0.1,"Dry"
3,1.54,7,0.22,1.54,1999-01-09 02:00:00,1999-01-09 08:00:00,40,1999,NA,83.2112197875977,83.2545928955078,1075.19513118267,1123.72734463215,-0.179317142674276,2.6993907816686,0.0520969551368697,4.31886023609803,"New_Orleans","low",0.1,"Dry"
14,0.59,3,0.196666666666667,0.59,1999-02-27 23:00:00,1999-02-28 01:00:00,165,1999,NA,10.9901065826416,21.7996864318848,78.6131734853843,130.866983383894,-2.56053422595528,29.6710079459191,49.5859419034248,39.928948117666,"New_Orleans","low",0.1,"Dry"
15,0.31,1,0.31,0.31,1999-03-03 00:00:00,1999-03-03 00:00:00,71,1999,NA,1.80982506275177,13.4598550796509,28.9614303857088,63.9699022592977,50.683800192509,53.8702474974575,86.5539037973155,54.7264739153178,"New_Orleans","low",0.1,"Dry"
16,0.23,2,0.115,0.23,1999-03-09 06:00:00,1999-03-09 07:00:00,150,1999,NA,1.12293696403503,6.6687331199646,18.7470440492034,38.1799572093878,53.733496430178,57.1086653208913,83.1611650393802,50.898205709372,"New_Orleans","low",0.1,"Dry"
18,1.77,7,0.252857142857143,1.77,1999-03-13 11:00:00,1999-03-13 17:00:00,35,1999,NA,131.376907348633,131.039459228516,1190.20343954116,1230.4773716901,-0.0262695648795674,3.47702932825765,-0.25751641688991,3.27303313945691,"New_Orleans","low",0.1,"Dry"
20,2.26,21,0.107619047619048,2.26,1999-03-30 00:00:00,1999-03-30 20:00:00,29,1999,NA,66.6389083862305,71.6203765869141,1121.66633133873,1207.27079892254,2.10901640259392,7.22281377274685,6.95537839659135,7.09074282755898,"New_Orleans","low",0.1,"Dry"
21,0.25,1,0.25,0.25,1999-04-14 22:00:00,1999-04-14 22:00:00,362,1999,NA,0.486748486757278,7.50642204284668,5.29468005672243,40.6417883636877,54.3809968898249,59.1027985658505,93.5155726126387,86.9723251119208,"New_Orleans","low",0.1,"Dry"
25,1.01,3,0.336666666666667,1.01,1999-05-10 13:00:00,1999-05-10 15:00:00,132,1999,NA,61.699275970459,61.6947402954102,320.352197714234,375.031176053919,-0.00750217696087423,10.6032940189651,-0.00735180183450024,14.5798487781784,"New_Orleans","low",0.1,"Dry"
26,1.34,11,0.121818181818182,1.34,1999-05-11 03:00:00,1999-05-11 13:00:00,12,1999,NA,22.9516143798828,23.0414695739746,595.973464787006,616.875690728426,-0.809701547620177,3.36725735810585,0.389971628343049,3.38840162703406,"New_Orleans","low",0.1,"Dry"
27,0.26,4,0.065,0.26,1999-05-12 06:00:00,1999-05-12 09:00:00,17,1999,NA,5.05539464950562,7.76263952255249,83.5197020769119,98.6713373661041,-3.43593173979631,26.4168476728834,34.8753135474296,15.3556602085715,"New_Orleans","low",0.1,"Dry"
30,0.3,4,0.075,0.3,1999-05-29 06:00:00,1999-05-29 09:00:00,14,1999,NA,0.711702823638916,7.91763019561768,8.44171324910712,52.2102571888827,53.9396663914217,57.7539733062978,91.0111636177093,83.8313126507551,"New_Orleans","low",0.1,"Dry"
31,0.25,2,0.125,0.25,1999-05-30 09:00:00,1999-05-30 10:00:00,24,1999,NA,0.917362153530121,8.89803791046143,10.6057394221425,45.4868520218879,49.8208100321046,52.9345952089702,89.6902871985792,76.6839450286885,"New_Orleans","low",0.1,"Dry"
35,1.08,5,0.216,1.08,1999-06-09 10:00:00,1999-06-09 14:00:00,43,1999,NA,105.390548706055,105.470321655273,616.061451108952,640.960596831575,0.0315056471308262,5.66831877975718,0.0756354469833566,3.88466090516428,"New_Orleans","low",0.1,"Dry"
36,1.24,1,1.24,1.24,1999-06-10 14:00:00,1999-06-10 14:00:00,24,1999,NA,222.461791992188,222.193084716797,919.58179807663,936.128032824956,-0.0261109488135772,-0.446671949337361,-0.120934130660778,1.76751834878768,"New_Orleans","low",0.1,"Dry"
37,0.36,2,0.18,0.36,1999-06-11 12:00:00,1999-06-11 13:00:00,22,1999,NA,16.8785667419434,19.7502593994141,124.615746080875,121.597611516714,-2.27752273651046,8.36256214718218,14.5400250163595,-2.48206730914813,"New_Orleans","low",0.1,"Dry"
38,2.75,3,0.916666666666667,2.75,1999-06-13 12:00:00,1999-06-13 14:00:00,47,1999,NA,465.172821044922,464.171997070312,2330.64358818531,2335.38884192705,-0.0516256478382596,-0.219926581920184,-0.215614897263561,0.203189021740192,"New_Orleans","low",0.1,"Dry"
